Gene stable ID	Chromosome/scaffold name	Gene start (bp)
ENSG00000210049	MT	577
ENSG00000211459	MT	648
ENSG00000210077	MT	1602
ENSG00000210082	MT	1671
ENSG00000209082	MT	3230
ENSG00000198888	MT	3307
ENSG00000210100	MT	4263
ENSG00000210107	MT	4329
ENSG00000210112	MT	4402
ENSG00000198763	MT	4470
ENSG00000210117	MT	5512
ENSG00000210127	MT	5587
ENSG00000210135	MT	5657
ENSG00000210140	MT	5761
ENSG00000210144	MT	5826
ENSG00000198804	MT	5904
ENSG00000210151	MT	7446
ENSG00000210154	MT	7518
ENSG00000198712	MT	7586
ENSG00000210156	MT	8295
ENSG00000228253	MT	8366
ENSG00000198899	MT	8527
ENSG00000198938	MT	9207
ENSG00000210164	MT	9991
ENSG00000198840	MT	10059
ENSG00000210174	MT	10405
ENSG00000212907	MT	10470
ENSG00000198886	MT	10760
ENSG00000210176	MT	12138
ENSG00000210184	MT	12207
ENSG00000210191	MT	12266
ENSG00000198786	MT	12337
ENSG00000198695	MT	14149
ENSG00000210194	MT	14674
ENSG00000198727	MT	14747
ENSG00000210195	MT	15888
ENSG00000210196	MT	15956
ENSG00000242065	X	44772773
ENSG00000252951	4	147745303
ENSG00000243352	7	104911928
ENSG00000239553	11	66712720
ENSG00000238590	7	128443449
ENSG00000199567	X	86019608
ENSG00000264352	2	34809233
ENSG00000252443	16	69785994
ENSG00000243532	8	70654578
ENSG00000212567	5	40790077
ENSG00000202314	11	93731502
ENSG00000199880	5	138123011
ENSG00000221643	1	203729581
ENSG00000243115	9	12764761
ENSG00000264910	19	58543299
ENSG00000252852	8	117313528
ENSG00000252982	3	174057641
ENSG00000206795	X	12149126
ENSG00000202237	13	28703702
ENSG00000252151	1	14124233
ENSG00000222146	8	112148742
ENSG00000201812	21	14070871
ENSG00000222594	4	145035132
ENSG00000206779	1	28422555
ENSG00000273908	11	32439716
ENSG00000201690	13	102016953
ENSG00000199362	11	75837544
ENSG00000200052	3	165122713
ENSG00000277551	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54913656
ENSG00000265123	6	34685355
ENSG00000276670	2	44940045
ENSG00000264071	2	43492032
ENSG00000252872	7	96377857
ENSG00000251887	5	31832439
ENSG00000222429	17	4619749
ENSG00000252812	13	40407122
ENSG00000207201	8	24076997
ENSG00000240173	7	140645829
ENSG00000253038	18	39034007
ENSG00000206745	6	41302466
ENSG00000252130	2	191370938
ENSG00000223224	16	71758402
ENSG00000274197	11	130114251
ENSG00000277563	10	24255246
ENSG00000201185	6	4427963
ENSG00000201035	19	21113128
ENSG00000251998	5	163796065
ENSG00000202532	2	127845236
ENSG00000252634	10	21785292
ENSG00000199878	X	143197248
ENSG00000252325	18	21879801
ENSG00000239964	6	36522191
ENSG00000201901	4	85100496
ENSG00000240823	11	61444149
ENSG00000265116	CHR_HSCHR6_MHC_MANN_CTG1	31575852
ENSG00000280496	9	136726104
ENSG00000241964	8	63234634
ENSG00000251730	3	183454128
ENSG00000252312	14	36231555
ENSG00000278003	CHR_HSCHR15_4_CTG8	28665659
ENSG00000222337	9	99284022
ENSG00000206665	4	35495898
ENSG00000283519	14	75270700
ENSG00000276183	13	18418526
ENSG00000212448	12	95617689
ENSG00000241229	20	44007248
ENSG00000251942	2	53470447
ENSG00000252305	17	14177131
ENSG00000201301	3	49467115
ENSG00000222232	2	28683976
ENSG00000252682	1	154288460
ENSG00000285674	19	7886977
ENSG00000199601	X	75202703
ENSG00000276696	15	56634038
ENSG00000199473	7	17373201
